unique_id,name,boro,geo_dist,projdesc,award,consttype,buildingid,building_address,city,zip_code,borough,latitude,longitude,community_board,community_council,bin,bbl,census_tract,nta,data_as_of,computed_region_efsh_h5xi,computed_region_f5dn_yrer,computed_region_yeji_bk3q,computed_region_92fq_4b7q,computed_region_sbqj_enih
1,"K721 SPED - BROOKLYN",K,21,"FIRE ALARM SYSTEM REPLACEMENT",999.999999,CIP,K722,"64 AVENUE X",Brooklyn,11225,BROOKLYN,40.589317,-73.981310,313,47,3385667,2147483647,308,BK1301,1900-05-23,18183,21,2,45,35
2,"P.S. 117 - QUEENS",Q,28,"LSP DOMESTIC WATER HEATER",999.999999,CIP,Q117,"85-15 143RD STREET",Queens,11225,QUEENS,40.709463,-73.813376,408,24,4208040,2147483647,232,QN0805,1900-05-23,24670,25,3,24,65
3,"P.S. 37 - QUEENS",Q,29,"ELEVATOR / EXTERIOR MASONRY / FIRE ALARM / FLOOD ELIMINATION / PARAPETS",999.999999,CIP,Q037,"179-37 137 AVENUE",Queens,11225,QUEENS,40.675880,-73.758505,412,27,4279864,2147483647,352,QN1205,1900-05-23,15313,41,3,6,71
4,"IT TAKES A VILLAGE ACADEMY - K",K,18,"LSP- AUDITORIUM UPGRADE",999.999999,CIP,K415,"5800 TILDEN AVENUE",Brooklyn,11225,BROOKLYN,40.648657,-73.922171,317,45,3104598,2147483647,936,BK1703,1900-05-23,16866,61,2,26,40
5,"P.S. 87 - BRONX",X,11,Addition,999.999999,CAP,X087,"1935 BUSSING AVENUE",Bronx,10466,BRONX,40.895104,-73.845968,212,12,2069061,2050180001,428,BX1203,1900-05-23,11275,29,5,2,30
6,"P.S. 193 - QUEENS",Q,25,"PATH OF TRAVEL TCU REMOVAL / PLAYGROUND REDEVELOPMENT / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / TCU REMOVAL/PLAYGROUND REDEVELOPMENT",999.999999,CIP,Q193,"152-20 11 AVENUE",Queens,11225,QUEENS,40.792483,-73.809741,407,19,4103056,2147483647,987,QN0702,1900-05-23,14192,22,3,20,67
7,"P.S. 243 - BROOKLYN",K,16,"EXTERIOR MASONRY / PARAPETS / ROOFS",999.999999,CIP,K243,"1580 DEAN STREET",Brooklyn,11225,BROOKLYN,40.676094,-73.935688,308,36,3035761,2147483647,309,BK0802,1900-05-23,17615,16,2,49,49
8,"P.S. 99 - QUEENS",Q,28,"PLAYGROUND UPGRADE",999.999999,CIP,Q099,"82-37 KEW GARDENS ROAD",Queens,11225,QUEENS,40.711419,-73.828628,409,29,4080168,2147483647,21601,QN0901,1900-05-23,24011,46,3,28,60
9,"P.S. 20 - QUEENS",Q,25,"EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS",999.999999,CIP,Q020,"142-30 BARCLAY AVENUE",Queens,11225,QUEENS,40.758689,-73.824832,407,20,4114657,2147483647,855,QN0707,1900-05-23,14190,22,3,3,67
10,"P.S. /I.S 295 - QUEENS",Q,29,"EXTERIOR MASONRY / PARAPETS / ROOFS / RTU REPLACEMENT",999.999999,CIP,Q263,"222-14 JAMAICA AVENUE",Queens,11225,QUEENS,40.720619,-73.731997,413,23,4231378,2147483647,568,QN1303,1900-05-23,24337,63,3,16,63
11,"P.S. 205 - QUEENS",Q,26,"EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS",999.999999,CIP,Q205,"75-25 BELL BOULEVARD",Queens,11225,QUEENS,40.737678,-73.756791,411,23,4164007,2147483647,129103,QN1104,1900-05-23,14506,26,3,16,69
12,"HS OF BUSINESS - BRONX",X,9,"EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS",999.999999,CIP,X410,"240 EAST 172 STREET",Bronx,11225,BRONX,40.840422,-73.910910,204,16,2007806,2028170002,225,BX0403,1900-05-23,10935,50,5,42,27
13,"P.S. 119 - BROOKLYN",K,22,"EXTERIOR MASONRY / PARAPETS / ROOFS",999.999999,CIP,K119,"3829 AVENUE K",Brooklyn,11225,BROOKLYN,40.625662,-73.938265,318,45,3215816,2147483647,734,BK1801,1900-05-23,17217,5,2,26,38
14,"BOYS & GIRLS HS - BROOKLYN",K,16,"ELECTRICAL WORK FOR A/C INITIATIVE",999.999999,CIP,K455,"1700 FULTON STREET",Brooklyn,11225,BROOKLYN,40.679440,-73.932407,303,36,3047996,2147483647,271,BK0302,1900-05-23,17615,69,2,49,52
15,"P.S. 90 - BROOKLYN",K,21,"FY18 RESO A LIBRARY UPGRADES",999.999999,CIP,K090,"2840 WEST 12 STREET",Brooklyn,11225,BROOKLYN,40.578255,-73.979628,313,47,3196558,2147483647,350,BK1302,1900-05-23,18184,21,2,45,35
16,"IT TAKES A VILLAGE ACADEMY - K",K,18,"EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS",999.999999,CIP,K415,"5800 TILDEN AVENUE",Brooklyn,11225,BROOKLYN,40.648657,-73.922171,317,45,3104598,2147483647,936,BK1703,1900-05-23,16866,61,2,26,40
17,"P.S. 95 - QUEENS",Q,29,"LSP DOMESTIC WATER HEATER",999.999999,CIP,Q095,"179-01 90TH AVENUE",Queens,11225,QUEENS,40.710624,-73.783423,412,23,4446042,2147483647,468,QN1201,1900-05-23,24340,41,3,6,61
18,"WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOK",K,16,"BUILDING DRAIN BACKUP",999.999999,CIP,K057,"125 STUYVESANT AVENUE",Brooklyn,11225,BROOKLYN,40.691274,-73.933697,303,36,3043822,2147483647,291,BK0302,1900-05-23,18181,69,2,49,52
19,"P.S. 56 - QUEENS",Q,27,"FY21 RESO A IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION",999.999999,CIP,Q056,"86-10 114 STREET",Queens,11225,QUEENS,40.699190,-73.835299,409,29,4192689,2147483647,130,QN0902,1900-05-23,24014,46,3,41,60
20,"P.S. 20 - QUEENS",Q,25,"LSP DOMESTIC WATER HEATER REPLACEMENT",999.999999,CIP,Q020,"142-30 BARCLAY AVENUE",Queens,11225,QUEENS,40.758689,-73.824832,407,20,4114657,2147483647,855,QN0707,1900-05-23,14190,22,3,3,67
21,"I.S. 72 - STATEN ISLAND",R,31,"CERTIFICATE OF OCCUPANCY / CHILLER REPLACEMENT",999.999999,CIP,R072,"33 FERNDALE AVENUE","Staten Island",11225,"STATEN IS",40.593005,-74.158988,502,51,5037524,2147483647,27706,SI0204,1900-05-23,10700,30,1,9,75
22,"CHANNEL VIEW SCL FOR RESEARCH - Q",Q,27,"TENNIS COURT REMEDIATION",999.999999,CIP,Q411,"100-00 BEACH CHANNEL DRIVE",Queens,11225,QUEENS,40.586066,-73.822624,414,32,4303773,2147483647,94201,QN1402,1900-05-23,20532,51,3,41,58
23,"DISTRICT 27 PRE-K CENTER @ 160-06 CROSS BAY BOULEVARD - QUEENS",Q,27,Demo,999.999999,CAP,Q486,"160-06 CROSS BAY BOULEVARD",Queens,11414,QUEENS,40.657176,-73.839392,410,32,4293775,2147483647,89201,QN1003,1900-05-23,15314,62,3,41,64
24,"P.S. 236 - BROOKLYN",K,22,"FIRE ALARM REPLACEMENT / FULL PROGRAM ACCESSIBILITY",999.999999,CIP,K236,"6302 AVENUE U",Brooklyn,11225,BROOKLYN,40.615998,-73.912989,318,46,3326821,2147483647,698,BK1802,1900-05-23,13825,5,2,8,38
25,"THE QUEENS SCHOOL OF INQUIRY-Q",Q,25,"EXTERIOR MASONRY / PARAPETS / ROOFS",999.999999,CIP,Q168,"158-40 76 ROAD",Queens,11225,QUEENS,40.724458,-73.810216,408,24,4147847,2147483647,1257,QN0802,1900-05-23,14508,25,3,24,65
26,"P.S. 220 - QUEENS",Q,28,"FLOOD ELIMINATION / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL",999.999999,CIP,Q220,"62-10 108 STREET",Queens,11225,QUEENS,40.736524,-73.851455,406,24,4051290,2147483647,745,QN0602,1900-05-23,14786,40,3,28,70
27,"P.S. 96 - MANHATTAN",M,4,"LOW VOLTAGE ELECTRICAL SYSTEM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL",999.999999,CIP,M096,"216 EAST 120 STREET",Manhattan,11225,MANHATTAN,40.800256,-73.937558,111,8,1074333,1017840012,194,MN1102,1900-05-23,13093,7,4,35,16
28,"P.S. 102 - QUEENS",Q,24,"FY22 RESO A GYMNASIUM UPGRADE",999.999999,CIP,Q102,"55-24 VAN HORN STREET",Queens,11225,QUEENS,40.733514,-73.877857,404,30,4437597,2147483647,479,QN0401,1900-05-23,14784,66,3,5,68
29,"BROOKLYN TECH HS - K",K,13,"KITCHEN FIRE SUPRESSION SYSTEM / LOW VOLTAGE ELECTRICAL SYSTEM",999.999999,CIP,K430,"29 FT GREENE PLACE",Brooklyn,11225,BROOKLYN,40.688834,-73.976905,302,35,3058752,2147483647,33,BK0203,1900-05-23,17619,68,2,48,55
30,"P.S. 215 - BROOKLYN",K,21,"LSP REPLACE PVI DOMESTIC WATER HEATER",999.999999,CIP,K215,"415 AVENUE S",Brooklyn,11225,BROOKLYN,40.602084,-73.970013,315,44,3178584,2147483647,41401,BK1501,1900-05-23,18183,32,2,45,36
31,"JOHN BOWNE HS - QUEENS",Q,25,"IDA GYM FLOOR REPLACEMENT",999.999999,CIP,Q425,"63-25 MAIN STREET",Queens,11225,QUEENS,40.738139,-73.824944,408,24,4439900,2147483647,809,QN0801,1900-05-23,14509,25,3,24,65
32,"P.S. 62 - BRONX",X,8,"FULL PROGRAM ACCESSIBILITY / WINDOWS",999.999999,CIP,X062,"660 FOX STREET",Bronx,11225,BRONX,40.814031,-73.900609,202,17,2005089,2026830065,83,BX0202,1900-05-23,10933,8,5,35,24
33,"X721 SPED - BRONX",X,11,"EXTERIOR MASONRY WATER PENETRATION / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS",999.999999,CIP,X722,"2697 WESTCHESTER AVENUE",Bronx,11225,BRONX,40.842289,-73.838949,211,13,2045725,2041330200,284,BX1161,1900-05-23,11270,59,5,12,32
34,"HS OF COMPUTERS & TECHNOLOGY - X",X,11,"RESO A GYMNASIUM UPGRADE",999.999999,CIP,X425,"800 EAST GUN HILL ROAD",Bronx,11225,BRONX,40.875953,-73.861970,212,12,2057045,2046330040,372,BX1201,1900-05-23,11605,29,5,2,30
35,"J.H.S. 25 - QUEENS",Q,25,"PA SYSTEM REPLACEMENT",999.999999,CIP,Q025,"34-65 192 STREET",Queens,11225,QUEENS,40.765133,-73.790083,411,19,4119139,2147483647,1139,QN1101,1900-05-23,14193,26,3,20,69
36,"P.S./I.S. 499 - QUEENS",Q,25,"LSP DOMESTIC WATER HEATER REPLACEMENT",999.999999,CIP,Q499,"148-20 REEVES AVENUE",Queens,11225,QUEENS,40.739246,-73.822057,408,24,4467571,2147483647,809,QN0801,1900-05-23,14509,25,3,24,65
37,"P.S. 171 - MANHATTAN",M,4,"ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT",999.999999,CIP,M171,"19 EAST 103 STREET",Manhattan,11225,MANHATTAN,40.792122,-73.951961,111,8,1051497,1016090007,168,MN1101,1900-05-23,12426,7,4,35,14
38,"RICHMOND HILL HS - QUEENS",Q,27,"LOCKER ROOM UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / POOL WATER HEATER & FILTRATION",999.999999,CIP,Q475,"89-30 114 STREET",Queens,11225,QUEENS,40.695888,-73.833681,409,29,4195688,2147483647,124,QN0902,1900-05-23,24014,46,3,46,60
39,"D75 SCHOOL @ 72ND STREET - BROOKLYN",K,20,Lease,999.999999,CAP,K464,"1514 72 STREET",Brooklyn,11228,BROOKLYN,40.619061,-74.000753,311,38,3383724,2147483647,190,BK1101,1900-05-23,13511,1,2,44,37
40,"M.S./H.S. 342 - BRONX",X,10,"ELECTRICAL SYSTEMS / EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS",999.999999,CIP,X430,"2780 RESERVOIR AVENUE",Bronx,11225,BRONX,40.870293,-73.898309,207,11,2015241,2032470070,409,BX0702,1900-05-23,11606,24,5,40,34
41,"P.S. 95 - BROOKLYN",K,21,"ELECTRICAL SYSTEMS / LOW VOLTAGE ELECTRICAL SYSTEM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL",999.999999,CIP,K095,"345 VAN SICKLEN STREET",Brooklyn,11225,BROOKLYN,40.595698,-73.975180,315,44,3192661,2147483647,398,BK1501,1900-05-23,18183,32,2,45,36
42,"SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH - NE",K,22,"IPDVS CAMERA INSTALLATION",999.999999,CIP,K864,"3109 NEWKIRK AVENUE",Brooklyn,11225,BROOKLYN,40.640066,-73.947253,317,45,3112334,2147483647,830,BK1702,1900-05-23,17217,61,2,26,40
43,"QUEENS COLLEGIATE SCHOOL - QUEENS",Q,28,"WEST AREAWAY DRAINS",999.999999,CIP,Q470,"167-01 GOTHIC DRIVE",Queens,11225,QUEENS,40.713218,-73.797237,408,24,4448806,2147483647,452,QN0805,1900-05-23,24340,25,3,24,65
44,"P.S. @ 6740 3RD AVENUE - BROOKLYN",K,20,Demo,999.999999,CAP,K053,"6740 3RD AVENUE",Brooklyn,11220,BROOKLYN,40.637073,-74.025513,310,47,3144616,2147483647,70,BK1001,1900-05-23,18180,10,2,44,41
45,"P.S. 175 - BRONX",X,11,"LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT",999.999999,CIP,X175,"200 CITY ISLAND AVENUE",Bronx,11225,BRONX,40.843873,-73.785219,210,13,2082444,2056410280,51601,BX1003,1900-05-23,11273,43,5,12,28
46,"P.S. 175 - QUEENS",Q,28,"ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT",999.999999,CIP,Q175,"64-35 102 STREET",Queens,11225,QUEENS,40.730941,-73.853164,406,29,4051200,2147483647,721,QN0602,1900-05-23,14785,40,3,28,70
47,"I.S. 118 - BRONX",X,10,"FY19 RESO A SUPPLEMENTAL COOLING",999.999999,CIP,X118,"577 EAST 179 STREET",Bronx,11225,BRONX,40.848339,-73.893080,206,15,2011995,2030690001,37504,BX0602,1900-05-23,10935,35,5,22,31
48,"I.S. 229 - BRONX",X,9,"STH SBHC",999.999999,CIP,X229,"275 HARLEM RIVER PARK BRIDGE",Bronx,11225,BRONX,40.852536,-73.921467,205,16,2009253,2028820130,53,BX0501,1900-05-23,10931,6,5,42,29
49,"J.H.S. 52 - MANHATTAN",M,6,"IPDVS CAMERA INSTALLATION",999.999999,CIP,M052,"650 ACADEMY STREET",Manhattan,11225,MANHATTAN,40.866053,-73.924835,112,10,1076776,1022330020,291,MN1203,1900-05-23,13098,47,4,39,22
50,"P.S. 303 - QUEENS",Q,28,"EXTERIOR MASONRY / PARAPETS / ROOF REPLACEMENT",999.999999,CIP,Q003,"68-60 110TH STREET",Queens,11225,QUEENS,40.726100,-73.843502,406,29,4607345,2147483647,739,QN0602,1900-05-23,14786,40,3,28,70
51,"Q811 SPED - QUEENS",Q,29,"FIRE ALARM REPLACEMENT / FULL PROGRAM ACCESSIBILITY",999.999999,CIP,Q822,"114-36 202ND STREET",Queens,11225,QUEENS,40.699646,-73.752519,412,27,4236757,2147483647,520,QN1205,1900-05-23,15312,41,3,6,71
52,"HERBERT H. LEHMAN HS - X",X,8,"EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS",999.999999,CIP,X405,"3000 EAST TREMONT AVENUE",Bronx,11225,BRONX,40.840733,-73.838685,210,13,2074045,2053680001,194,BX1002,1900-05-23,11270,43,5,12,28
53,"3K CENTER @ 1450 PLIMPTON AVENUE - BRONX",X,9,Lease,999.999999,CAP,X486,"1450 PLIMPTON AVENUE",Bronx,10452,BRONX,40.843998,-73.922008,204,16,2129309,2028740027,21302,BX0403,1900-05-23,10930,50,5,42,27
54,"I.S. 72 - STATEN ISLAND",R,31,"PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL",999.999999,CIP,R072,"33 FERNDALE AVENUE","Staten Island",11225,"STATEN IS",40.593005,-74.158988,502,51,5037524,2147483647,27706,SI0204,1900-05-23,10700,30,1,9,75
